id,value
id_0,26.3406058142
id_1,64.7418032934
id_2,19.9732863915
id_3,27.3873711743
id_4,9.90161026804
id_5,35.8320194129
id_6,39.1524316205
id_7,14.5238315658
id_8,47.4958374844
id_9,35.0243110196
id_10,38.7430223069
id_11,57.8766149895
id_12,34.8037147443
id_13,40.334180453
id_14,27.3458455158
id_15,11.9872785578
id_16,51.3724341077
id_17,22.2756963587
id_18,15.8274717003
id_19,17.7101966079
id_20,15.9158526751
id_21,28.7435373344
id_22,40.1708296662
id_23,7.56964405208
id_24,59.0989253868
id_25,45.2097671521
id_26,26.9824642855
id_27,8.47338425824
id_28,31.380756349
id_29,36.4604956093
id_30,18.5914920445
id_31,11.7346873589
id_32,17.5541287274
id_33,6.71193859005
id_34,16.9252806912
id_35,40.0527900428
id_36,18.4768846688
id_37,26.9451431191
id_38,11.8597696353
id_39,63.3222708735
id_40,47.7751956015
id_41,15.7338308208
id_42,54.0609091432
id_43,17.458392391
id_44,46.7584833564
id_45,50.7145011529
id_46,60.2664251239
id_47,40.3791441587
id_48,52.4867579639
id_49,42.4764330806
id_50,28.7151038769
id_51,23.035045075
id_52,42.256638968
id_53,25.7079946414
id_54,38.3574694336
id_55,40.6788175656
id_56,24.7698834497
id_57,22.2164260602
id_58,36.0454504425
id_59,31.6476477188
id_60,15.1286283221
id_61,22.9147846819
id_62,30.8707877143
id_63,57.6666015291
id_64,49.1314701343
id_65,27.7307372246
id_66,40.9431217271
id_67,53.1931860645
id_68,28.7469019318
id_69,36.3162458161
id_70,63.8568582097
id_71,55.3376755123
id_72,45.6395749508
id_73,13.7224859808
id_74,10.6913973859
id_75,37.340172403
id_76,63.4333425145
id_77,0.836016998878
id_78,43.3517612555
id_79,40.4111526317
id_80,9.269280355
id_81,21.3768498385
id_82,7.05307305868
id_83,30.5587347565
id_84,9.77691588458
id_85,7.35027100607
id_86,16.0891728213
id_87,10.6436213661
id_88,11.2475022517
id_89,25.5028601065
id_90,36.7025167824
id_91,12.5476576697
id_92,11.5343178537
id_93,7.34129783788
id_94,38.1013482769
id_95,16.4159015809
id_96,16.9878598594
id_97,8.37199408968
id_98,11.0002680114
id_99,4.57864644355
id_100,12.5986398756
id_101,17.699583369
id_102,12.190413368
id_103,8.08752648766
id_104,12.6061337737
id_105,38.5520405802
id_106,25.1849928538
id_107,7.011650653
id_108,14.4699801978
id_109,14.9276707682
id_110,12.5696637902
id_111,16.82220591
id_112,14.6512724292
id_113,26.3026425923
id_114,22.3680338834
id_115,16.3846546001
id_116,8.81894953814
id_117,46.4518165888
id_118,27.2833319645
id_119,0.911652207787
id_120,-0.300052086141
id_121,9.22323821988
id_122,15.4457144388
id_123,13.9690589458
id_124,6.93211216947
id_125,27.106416454
id_126,23.8146787381
id_127,10.8693297028
id_128,20.762745835
id_129,15.5131861947
id_130,0.0279699527409
id_131,35.6917765406
id_132,13.4088450993
id_133,19.8293931945
id_134,25.603056376
id_135,23.8405391101
id_136,8.54622550712
id_137,22.5870431997
id_138,80.7003021417
id_139,63.4158797263
id_140,28.6828131604
id_141,20.822200743
id_142,25.9243795867
id_143,7.57226782284
id_144,11.1767382347
id_145,9.60596606173
id_146,19.9925129372
id_147,8.64019522854
id_148,11.562833226
id_149,18.2826776866
id_150,51.9736499948
id_151,21.2225146663
id_152,25.1581645838
id_153,15.6743910111
id_154,14.2013777963
id_155,24.4514474346
id_156,21.963129406
id_157,37.0585434573
id_158,0.0378657557996
id_159,20.0976777046
id_160,44.2590731366
id_161,19.0420928585
id_162,60.943083932
id_163,18.8776365008
id_164,36.5632060905
id_165,23.6834436273
id_166,21.4892359526
id_167,1.07857734878
id_168,70.932024605
id_169,17.8300552606
id_170,17.8586575559
id_171,75.1009614676
id_172,22.5559779875
id_173,1.3873260238
id_174,22.600161877
id_175,1.68679718083
id_176,7.2669209045
id_177,16.0573150912
id_178,21.1407242627
id_179,22.3849514634
id_180,44.3087446928
id_181,31.2467568723
id_182,28.6225075645
id_183,11.4825775111
id_184,8.40712658782
id_185,41.491227453
id_186,38.2436314199
id_187,36.2493291436
id_188,14.6910763015
id_189,23.781055285
id_190,15.6597658306
id_191,15.1666562613
id_192,33.3501696515
id_193,76.7805732388
id_194,30.642492834
id_195,12.5646073527
id_196,63.4187148611
id_197,17.4506768934
id_198,19.7272231524
id_199,22.5712823233
id_200,133.095992981
id_201,25.2815594666
id_202,59.4826253559
id_203,3.33551751253
id_204,60.200944825
id_205,38.4540703723
id_206,15.990430192
id_207,13.1739181972
id_208,65.4060032724
id_209,11.8441964949
id_210,33.5099301523
id_211,70.8399999401
id_212,20.6936864213
id_213,112.420812054
id_214,42.234877324
id_215,78.0937494445
id_216,97.8406610631
id_217,73.9894146707
id_218,29.2941147927
id_219,16.9966909112
id_220,30.9603693817
id_221,52.9427423519
id_222,27.1050165964
id_223,42.1215669187
id_224,42.8214451623
id_225,6.22095671522
id_226,5.20614179691
id_227,73.7255681498
id_228,27.59557706
id_229,0.887207155047
id_230,40.4683692969
id_231,13.161183045
id_232,21.2616210749
id_233,8.16498181871
id_234,11.025668155
id_235,24.2461770301
id_236,13.1747919697
id_237,-1.52352000006
id_238,21.8927601956
id_239,4.08000486411
